1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug
88.0,2.0,196.0,671.0,1.0,0.35,1.42,3.0,454.0,237.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,4.0,3.69,Asia,India,agra-india
244.0,2.0,229.0,1373.0,1.0,0.46,1.3,3.0,735.0,362.0,1.0,1.0,3.0,2.0,1.0,1.0,8.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,3.26,Asia,India,delhi-india
586.0,2.0,117.0,1312.0,1.0,0.47,1.33,3.0,984.0,658.0,1.0,1.0,3.0,2.0,1.0,1.0,8.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,3.63,Asia,India,mumbai-india
691.0,2.0,61.0,1312.0,3.0,0.61,3.51,3.0,1226.0,940.0,2.0,1.0,2.0,2.0,2.0,1.0,15.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0,4.0,4.25,Asia,China,shenzhen-china
1510.0,2.0,16.0,2776.0,2.0,2.2,4.67,1.0,3258.0,2422.0,4.0,2.0,3.0,3.0,3.0,3.0,31.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,2.0,4.0,4.0,4.0,4.34,North America,United States,washington-dc-united-states
990.0,2.0,17.0,3294.0,2.0,1.7,3.41,1.0,2274.0,1281.0,4.0,2.0,3.0,3.0,3.0,3.0,17.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.3,North America,United States,madison-wi-united-states
1146.691677533132,2.0,12.0,2776.0,2.0,1.92,3.97,1.0,3270.0,2432.0,2.0,2.0,2.0,3.0,3.0,3.0,19.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,4.0,4.0,4.0,4.15,North America,United States,boston-ma-united-states
1906.0,3.0,154.0,2318.0,2.0,1.83,4.36,1.0,2879.0,2284.0,2.0,1.0,3.0,3.0,3.0,1.0,13.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,4.0,2.0,4.0,4.0,4.02,Middle East,United Arab Emirates,dubai-united-arab-emirates
1884.0,3.0,30.0,2288.0,3.0,0.0,4.03,2.0,2661.0,2193.0,4.0,1.0,2.0,3.0,3.0,4.0,101.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.45,Asia,Singapore,singapore-singapore
792.0,2.0,23.0,1830.0,3.0,2.21,3.37,1.0,1885.0,1168.0,4.0,2.0,4.0,3.0,3.0,2.0,21.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,3.68,Europe,United Kingdom,glasgow-united-kingdom
2360.0,2.0,14.0,3111.0,3.0,2.21,3.14,1.0,2873.0,1362.0,4.0,2.0,3.0,3.0,3.0,2.0,36.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,4.02,Europe,United Kingdom,edinburgh-united-kingdom
783.0,2.0,19.0,1800.0,2.0,2.38,3.13,2.0,1795.0,1113.0,2.0,3.0,2.0,2.0,3.0,3.0,60.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,1.0,4.14,Europe,Belgium,leuven-belgium
844.0,3.0,24.0,1983.0,1.0,2.23,3.38,2.0,1823.0,1157.0,4.0,3.0,3.0,3.0,3.0,3.0,28.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.53,Europe,Germany,berlin-germany
875.0,2.0,26.0,1647.0,2.0,1.94,3.11,2.0,1868.0,1212.0,4.0,3.0,2.0,2.0,3.0,3.0,43.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,2.0,3.0,4.0,4.0,4.14,Europe,Belgium,brussels-belgium
441.0,2.0,20.0,1342.0,2.0,0.9,2.06,3.0,1019.0,620.0,3.0,2.0,4.0,3.0,2.0,3.0,27.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,4.33,Europe,Poland,gdansk-poland
479.0,2.0,36.0,763.0,2.2953732554520587,0.67,2.12,3.0,792.0,610.0,1.8422156476578735,1.0,3.0,2.0,2.0,1.0,10.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0,4.14,Latin America,Ecuador,quito-ecuador
518.0,2.0,32.0,763.0,1.6846426238166612,0.69,1.51,3.0,810.0,612.0,2.0,1.0,3.0,3.0,2.0,1.0,6.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,4.0,3.64,Latin America,Ecuador,cuenca-ecuador
423.0,2.0,13.0,275.0,1.55734636380692,0.86,2.51,3.0,736.0,624.0,2.0,1.0,2.0,2.0,2.0,1.0,10.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,4.05,Latin America,Ecuador,guayaquil-ecuador
162.0,2.0,18.0,488.0,1.0,0.53,0.99,3.0,378.0,244.0,2.0,1.0,2.0,2.0,3.0,3.0,9.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,3.53,Latin America,Colombia,pasto-colombia
206.0,3.0,41.0,641.0,1.0,0.59,1.92,3.0,609.0,379.0,1.0,1.0,4.0,2.0,3.0,3.0,10.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,3.86,Latin America,Colombia,cali-colombia
473.0,2.0,45.0,610.0,1.0,0.52,1.81,3.0,849.0,619.0,2.0,1.0,3.0,3.0,3.0,3.0,8.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,4.0,4.49,Latin America,Colombia,medellin-colombia
378.0,2.0,36.0,854.0,1.0,0.62,1.22,3.0,711.0,468.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,3.82,Latin America,Colombia,santa-marta-colombia
328.0,2.0,44.0,824.0,1.0,0.67,1.38,3.0,686.0,442.0,2.0,1.0,2.0,2.0,3.0,3.0,7.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,4.12,Latin America,Colombia,barranquilla-colombia
691.0,3.0,41.0,1007.0,1.0,0.56,1.73,3.0,1077.0,784.0,1.0,1.0,4.0,4.0,3.0,3.0,9.0,1.0,3.0,1.0,3.0,1.3902641226791352,0.0,0.0,1.0,3.0,3.0,4.0,3.88,Latin America,Colombia,cartagena-colombia
435.0,3.0,52.0,732.0,1.0,0.66,1.41,3.0,799.0,550.0,2.0,1.0,4.0,3.0,3.0,3.0,7.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,4.0,4.03,Latin America,Colombia,bogota-colombia
1547.0,2.0,27.0,2959.0,2.0,3.17,5.79,1.0,3489.0,2495.0,4.0,4.0,3.0,3.0,4.0,3.0,41.0,3.0,3.0,4.0,3.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,4.33,Europe,Denmark,copenhagen-denmark
820.0,2.0,16.0,1861.0,2.0,2.14,3.38,1.0,2149.0,1246.0,4.0,3.0,3.0,3.0,3.0,3.0,42.0,3.0,2.0,4.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,3.77,Europe,Belgium,ghent-belgium
389.0,2.0,27.0,915.0,2.0,0.93,1.97,3.0,891.0,580.0,2.0,2.0,2.0,2.0,2.0,3.0,29.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.089206639380559,Europe,Poland,poznan-poland
367.0,2.0,54.0,2074.0,1.0,0.66,1.94,3.0,1072.0,512.0,1.0,1.0,1.0,2.0,3.0,2.0,16.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0,3.54,Latin America,Mexico,tulum-mexico
536.0,2.0,33.0,976.0,2.0,1.02,2.01,3.0,1080.0,724.0,3.0,2.0,3.0,4.0,2.0,3.0,28.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.11,Europe,Poland,warsaw-poland
1085.0,3.0,24.0,1952.0,3.0,2.19,2.27,1.0,2021.0,1301.0,3.0,3.0,2.0,3.0,3.0,4.0,29.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,4.0,4.0,4.0,4.029474577106795,Europe,Spain,barcelona-spain
167.0,2.0,7.0,2593.0,3.0,0.75,2.26,3.0,1065.0,399.0,4.0,1.0,3.0,2.0,3.0,1.0,21.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,3.75,Asia,Thailand,ko-tao-thailand
301.0,2.0,16.0,1251.0,3.0,0.3,2.22,3.0,723.0,453.0,2.0,1.0,3.0,2.0,3.0,1.0,21.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,3.62,Asia,Thailand,ko-pha-ngan-thailand
239.0,2.0,21.0,1037.0,2.0,0.31,0.43,3.0,575.0,274.0,2.0,1.0,3.0,3.0,1.0,1.0,22.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0,4.24,Asia,Vietnam,hoi-an-vietnam
347.0,2.0,46.0,1007.0,3.0,0.4,2.22,3.0,728.0,509.0,2.0,1.0,3.0,3.0,3.0,1.0,20.0,2.0,2.0456126140850026,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,4.0,4.97,Asia,Thailand,chiang-mai-thailand
452.0,2.0,15.0,976.0,3.0,0.75,2.19,3.0,950.0,626.0,4.0,1.0,3.0,2.0,3.0,1.0,18.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,3.49,Asia,Thailand,ko-lanta-thailand
628.0,4.0,42.0,1342.0,3.0,0.61,2.38,3.0,1080.0,778.0,3.0,1.0,3.0,3.0,3.0,1.0,19.0,3.0,4.0,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,4.0,4.9,Asia,Thailand,bangkok-thailand
421.0,2.0,39.0,1220.0,1.0,0.35,1.75,3.0,836.0,546.0,3.0,1.0,3.0,3.0,2.0,2.0,9.0,3.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,4.0,4.4,Asia,Indonesia,ubud-bali-indonesia
754.0,3.0,24.0,2379.0,3.0,1.3,1.29,2.0,1602.0,871.0,3.0,3.0,3.0,3.0,2.0,4.0,30.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.46,Europe,Portugal,lisbon-portugal
1694.0,2.0,16.0,2898.0,2.0,1.92,3.89,1.0,2809.0,1889.0,3.0,3.0,2.0,2.0,3.0,4.0,46.0,3.0,3.0,4.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,3.94,Europe,Ireland,dublin-ireland
924.0,2.0,24.0,1495.0,3.0,2.21,2.97,2.0,1909.0,1273.0,3.0,2.0,3.0,3.0,3.0,2.0,31.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,4.0,4.0,4.16,Europe,United Kingdom,manchester-united-kingdom
2134.0,2.0,17.0,2349.0,2.0,2.32,2.89,1.0,2810.0,2079.0,3.0,3.0,4.0,2.0,4.0,3.0,19.0,4.0,1.0,4.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.38,Oceania,Australia,sydney-australia
2000.0,2.0,15.0,3233.0,2.0,1.61,3.9,1.0,2945.0,2039.0,3.0,2.0,3.0,3.0,3.0,3.0,36.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.29,North America,United States,san-diego-ca-united-states
1244.0,3.0,26.0,3020.0,3.0,1.92,3.93,1.0,2515.0,1594.0,4.0,3.0,3.0,3.0,4.0,3.0,37.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.47,Europe,Sweden,stockholm-sweden
1828.0,2.0,22.0,3294.0,1.9887059728979715,4.05,4.19,1.0,3114.0,1924.0,3.0,4.0,3.0,3.0,4.0,4.0,36.0,3.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,1.0,3.89,Europe,Norway,oslo-norway
1395.0,2.0,16.0,2410.0,1.9065236094239177,3.33,4.31,1.0,2882.0,1904.0,3.0,4.0,3.0,3.0,4.0,4.0,38.0,2.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.25,Europe,Norway,tromso-norway
1440.0,2.0,11.0,2806.0,2.0,1.87,3.98,1.0,2508.0,1628.0,4.0,2.0,3.0,3.0,3.0,3.0,15.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.39,North America,United States,fort-lauderdale-fl-united-states
1330.0,2.0,12.0,2501.0,2.0,1.67,3.61,1.0,2404.0,1664.0,3.0,2.0,4.0,4.0,3.0,3.0,41.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.36,North America,United States,portland-or-united-states
1244.0,3.0,21.0,1830.0,1.0,2.33,3.32,1.0,2159.0,1527.0,4.0,3.0,3.0,4.0,3.0,3.0,33.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.8,Europe,Germany,hamburg-germany
668.0,2.0,20.0,2013.0,1.0,2.24,2.78,2.0,1687.0,999.0,4.0,3.0,3.0,2.0,3.0,3.0,33.0,4.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.31,Europe,Germany,bremen-germany
829.0,3.0,8.0,1586.0,1.0,2.17,3.51,2.0,1765.0,1185.0,4.0,3.0,3.0,2.0,3.0,4.0,38.0,3.0,3.0,4.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.32,Europe,Austria,vienna-austria
440.0,2.0,27.0,1464.0,3.0,1.1,1.9,3.0,1052.0,608.0,3.0,3.0,2.0,2.0,3.0,2.0,42.0,1.0,2.0,3.0,3.0,1.8997426846444874,0.0,0.0,3.0,3.0,4.0,4.0,4.17,Europe,Slovakia,bratislava-slovakia
1208.0,2.0,29.0,2257.0,3.0,0.94,1.28,2.0,1792.0,1211.0,3.0,2.0,2.0,3.0,2.0,2.0,37.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,4.0,4.0,4.93,Europe,Hungary,budapest-hungary
1396.0,2.0,15.0,7503.0,3.0,2.54,5.02,1.0,4013.0,1913.0,4.0,3.0,3.0,2.0,4.0,4.0,30.0,4.0,2.0,4.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,2.0,4.02,Europe,Iceland,reykjavik-iceland
2739.0,2.0,16.0,3050.0,2.0,2.77,4.67,1.0,3829.0,2980.0,3.0,2.0,4.0,4.0,3.0,3.0,20.0,4.0,4.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.61,North America,United States,new-york-city-ny-united-states
1240.0,2.0,12.0,1891.0,2.0,1.95,4.02,1.0,2143.0,1405.0,3.0,2.0,3.0,2.0,3.0,3.0,15.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,3.69,North America,United States,orlando-fl-united-states
436.0224599665397,2.0,10.0,1159.0,3.0,0.36,1.43,3.0,471.0,688.2277711591838,2.0,1.0,3.0,2.0,3.0,1.0,22.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,4.0,3.65,Asia,Thailand,krabi-thailand
1118.0,2.0,20.0,2440.0,1.0,2.61,3.07,1.0,2321.0,1439.0,4.0,3.0,4.0,3.0,3.0,3.0,29.0,4.0,4.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.95,Europe,Germany,munich-germany
1569.0,4.0,23.0,5002.0,1.0,2.67,3.99,1.0,2894.0,1849.0,3.0,4.0,4.0,3.0,4.0,4.0,9.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.44,Europe,Netherlands,amsterdam-netherlands
727.0,2.0,20.0,1464.0,3.0,1.81,2.91,2.0,1625.0,1079.0,4.0,3.0,3.0,3.0,4.0,3.0,53.0,2.0,3.0,4.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.47,Europe,Sweden,malmo-sweden
1175.0,2.0,19.0,2227.0,2.2391387015099085,3.43,5.04,1.0,2678.0,1786.0,4.0,4.0,3.0,3.0,4.0,4.0,42.0,3.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.14,Europe,Norway,bergen-norway
1541.0,2.0,18.0,4423.0,2.7385586918473295,3.3,4.31,1.0,3414.0,2049.0,3.0,4.0,3.0,3.0,4.0,4.0,43.0,2.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.95,Europe,Norway,trondheim-norway
1658.0,4.0,19.0,2044.0,2.0,2.22,3.01,1.0,2260.0,1588.0,4.0,3.0,3.0,4.0,4.0,3.0,21.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.18,Oceania,Australia,melbourne-australia
1026.0,4.0,17.0,1769.0,2.0,1.74,2.77,1.0,1896.0,1290.0,4.0,3.0,3.0,1.0,4.0,3.0,19.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.18,Oceania,Australia,adelaide-australia
1512.0,4.0,14.0,1830.0,2.0,2.15,3.62,1.0,1980.0,1258.0,3.0,3.0,3.0,2.0,4.0,3.0,25.0,4.0,2.0,4.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,4.1,Oceania,New Zealand,auckland-new-zealand
610.0,2.0,1.0,2989.0,2.0,1.92,2.94,1.0,2061.0,1019.0,2.0,3.0,3.0,3.0,4.0,3.0,37.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,1.0,3.58,Oceania,New Zealand,queenstown-new-zealand
830.0,3.0,21.0,1556.0,2.0,1.13,2.26,2.0,1483.0,1018.0,3.419581894035847,3.0,4.0,3.0,4.0,3.0,30.0,2.0,2.0,4.0,3.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,3.82,Oceania,New Zealand,christchurch-new-zealand
813.0,2.0,13.0,1891.0,2.0,1.81,3.17,2.0,1760.0,1136.0,4.0,3.0,4.0,2.0,4.0,3.0,43.0,4.0,3.0,4.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,4.18,Oceania,New Zealand,wellington-new-zealand
1215.0,4.0,16.0,1739.0,2.0,2.36,3.09,1.0,2241.0,1570.0,4.0,3.0,3.0,1.0,4.0,3.0,19.0,3.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.03,Oceania,Australia,brisbane-australia
713.0,3.0,27.0,1739.0,2.0,1.47,2.25,2.0,1395.0,881.0,4.0,2.0,3.056887001919671,4.0,3.0693716145699197,3.0,24.0,3.0,4.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.55,Europe,Czechia,prague-czechia
2520.0,2.0,20.0,2898.0,1.0,4.22,4.94,1.0,3426.0,2305.0,4.0,3.0,3.0,3.0,4.0,4.0,28.0,3.0,3.0,4.0,3.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,4.34,Europe,Switzerland,zurich-switzerland
1175.0,2.0,8.0,1891.0,1.0,2.86,1.86,1.0,2401.0,1500.0,3.0,2.0,3.0,3.0,2.0,4.0,17.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,3.97,Europe,Italy,milan-italy
711.0,2.0,32.0,2776.0,2.0,1.34,2.84,2.0,1748.0,966.0,2.0,2.0,2.0,2.0,2.0,4.0,15.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,4.0,3.0,4.0,4.0,3.84,Asia,Japan,osaka-japan
603.0,2.0,17.0,1251.0,3.0,1.58,2.43,2.0,1370.0,848.0,4.0,3.0,3.0,3.0,3.0,4.0,36.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,4.56,Europe,Spain,valencia-spain
362.0,2.0,15.0,1098.0,3.0,0.48,1.51,3.0,728.0,477.0,2.0,1.0,3.0,2.0,3.0,1.0,33.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,3.62,Asia,Thailand,ao-nang-thailand
539.0,2.0,8.0,1129.0,3.0,1.83,1.77,2.0,1302.0,773.0,3.0,3.0,3.0,3.0,3.0,4.0,35.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.34,Europe,Spain,alicante-spain
571.0,2.0,8.0,2318.0,3.0,1.62,2.17,2.0,1604.0,830.0,3.0,3.0,4.0,3.0,3.0,4.0,43.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.06,Europe,Spain,malaga-spain
830.0,2.0,14.0,2623.0,2.141193671932353,1.7,2.58,1.0,2173.0,1143.0,3.0,2.0,3.0,3.0,3.0,4.0,43.0,3.0,3.0,3.0,3.0,2.562193261672811,0.0,1.0,4.0,3.0,4.0,4.0,3.89,Europe,Malta,sliema-malta
910.0,2.0,19.0,1373.0,3.0,2.14,1.85,2.0,1776.0,1143.0,3.0,3.0,3.0,3.0,3.0,4.0,34.0,4.0,3.0,3.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.21,Europe,Spain,madrid-spain
150.0,2.0,20.0,2318.0,1.0,0.39,0.95,3.0,853.0,241.0,1.0,1.0,2.0,4.0,1.0,1.0,11.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,3.69774197771473,Asia,India,goa-india
1279.0,2.0,18.0,2288.0,1.0,2.47,1.26,1.0,2510.0,1530.0,2.0,2.0,3.0,4.0,2.0,4.0,22.0,1.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,2.96,Europe,Italy,rome-italy
1175.0,2.0,14.0,2166.0,2.0,1.44,2.55,1.0,2000.0,1285.0,3.0,3.0,3.0,3.0,4.0,3.0,38.0,4.0,4.0,4.0,3.0,4.0,0.0,1.0,3.0,4.0,4.0,4.0,4.35,North America,Canada,toronto-canada
1250.0,2.0,13.0,2532.0,2.0,1.84,4.12,1.0,2363.0,1590.0,3.0,2.0,4.0,3.0,3.0,3.0,36.0,3.0,3.0,3.0,4.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.17,North America,United States,boulder-co-united-states
1730.0,3.0,20.0,2928.0,2.0,2.67,4.01,1.0,3212.0,2241.0,3.0,2.0,4.0,3.0,3.0,3.0,18.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.6,North America,United States,los-angeles-ca-united-states
369.0,2.0,53.0,1617.0,1.0,0.61,1.23,3.0,938.0,483.0,2.0,1.0,4.0,3.0,3.0,2.0,16.0,2.0,2.0,2.0,3.0,1.8708990112094217,0.0,0.0,1.0,3.0,4.0,4.0,4.17,Latin America,Mexico,playa-del-carmen-mexico
325.0,2.0,36.0,1434.0,3.0,1.85,1.47,3.0,975.0,515.0,3.0,2.0,3.0,2.0,2.0,3.0,12.0,1.0,2.0,3.0,3.0,2.0,1.0,0.0,4.0,3.0,4.0,4.0,4.34,Europe,Croatia,zagreb-croatia
675.0,2.0,18.0,1190.0,2.0,1.3,3.32,2.0,1339.0,959.0,3.0,2.0,2.0,4.0,2.0,4.0,17.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,1.0,3.1,Asia,Japan,kobe-japan
